grid_id,long,lat,marine_species_richness,PD,co1_genetic_diversity_mean,long_deg,lat_deg,long_dd,lat_dd,DepthMin,DepthMax,DepthMean,ClimZoneCode,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA,matched_CenterLong,matched_CenterLat
1,-17174579,-7123536,44,11.83084374,0.007170548,-171.74579,-71.23536,-171.74579,-71.23536,3939,4022,3998,SP,-1.69337701797485,-0.0498020015656948,33.9343070983887,34.70556640625,1.15300004836172,0.70803302526474,308.798553466797,248.756500244141,636,0.0,730.228795180723,263.361204819277,-9999.0,0.0,0.0,0,,-171.75,-71.25
2,-16788679,-7123536,43,11.83084374,0.007170548,-167.88679,-71.23536,-167.88679,-71.23536,4002,4169,4079,SP,-1.69712901115417,-0.0705040022730827,33.9762306213379,34.7038955688477,1.1409999569878,0.702925026416779,309.091430664063,249.817565917969,742,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-167.75,-71.25
3,-16402779,-7123536,44,12.65038116,0.007498695,-164.02779,-71.23536,-164.02779,-71.23536,4112,4229,4185,SP,-1.65867400169373,-0.0711209997534752,33.9345550537109,34.7034187316895,1.12000002991408,0.694177985191345,311.400299072266,250.251983642578,708,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-164.25,-71.25
4,-16016879,-7123536,44,12.65038116,0.007498695,-160.16879,-71.23536,-160.16879,-71.23536,4147,4273,4231,SP,-1.62954902648926,-0.0725009962916374,33.8758964538574,34.7034225463867,1.16900005377829,0.679714977741241,313.670135498047,250.756240844727,661,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-160.25,-71.25
5,-15630979,-7123536,45,12.65038116,0.007498695,-156.30979,-71.23536,-156.30979,-71.23536,4302,4339,4322,SP,-1.62057399749756,-0.0666240006685257,33.7898864746094,34.710334777832,1.09399994835258,0.683326005935669,315.589599609375,250.215148925781,608,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-156.25,-71.25
6,-15245079,-7123536,44,12.65038116,0.007498695,-152.45079,-71.23536,-152.45079,-71.23536,4247,4287,4265,SP,-1.57388603687286,-0.0578560009598732,33.6962585449219,34.7051277160645,1.19400001130998,0.658298015594482,318.472259521484,248.833770751953,547,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-152.25,-71.25
7,-14859179,-7123536,38,12.21879219,0.005759863,-148.59179,-71.23536,-148.59179,-71.23536,4217,4253,4239,SP,-1.54992699623108,-0.0515789985656738,33.6811599731445,34.7055969238281,1.27300003077835,0.646318018436432,321.959838867188,247.223251342773,496,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-148.75,-71.25
8,-14473279,-7123536,38,11.76628828,0.00616578,-144.73279,-71.23536,-144.73279,-71.23536,4243,4328,4273,SP,-1.53285098075867,-0.0426210016012192,33.6335334777832,34.7039985656738,1.4449999434873502,0.637247025966644,324.871795654297,246.618209838867,465,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-144.75,-71.25
9,-14087379,-7123536,37,11.64032127,0.006286397,-140.87379,-71.23536,-140.87379,-71.23536,4234,4321,4258,SP,-1.51972794532776,-0.0342670008540154,33.6003074645996,34.7039985656738,1.64300005417317,0.62617701292038,327.414428710938,245.620147705078,423,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-140.75,-71.25
30,-5983479,-7123536,34,11.39051555,0.004906537,-59.83479,-71.23536,-59.83479,-71.23536,100,232,161,SP,-1.77876198291779,-1.7317670583725,34.0071449279785,34.5013885498047,1.38699996750802,0.913474023342133,338.653198242188,308.842376708984,54,752.719696969697,240.870303030303,0.0,-9999.0,0.0,0.0,0,,-59.75,-71.25
31,-5597579,-7123536,36,11.74368843,0.004906537,-55.97579,-71.23536,-55.97579,-71.23536,581,994,744,SP,-1.77985000610352,-0.317137986421585,34.2162704467773,34.6764907836914,0.842000008560717,0.951520025730133,327.834869384766,282.09619140625,197,0.0,993.59,0.0,-9999.0,0.0,0.0,0,,-55.75,-71.25
32,-5211679,-7123536,39,11.74368843,0.004906537,-52.11679,-71.23536,-52.11679,-71.23536,1838,2543,2232,SP,-1.78198003768921,0.45228299498558,34.1586456298828,34.6452560424805,1.08900002669543,0.965107023715973,334.903198242188,255.674850463867,321,0.0,993.59,0.0,-9999.0,0.0,0.0,0,,-52.25,-71.25
33,-4825779,-7123536,38,11.12560158,0.004878521,-48.25779,-71.23536,-48.25779,-71.23536,2373,3038,2693,SP,-1.78454399108887,0.059494998306036,34.1268081665039,34.6516723632813,1.30500004161149,0.957863986492157,334.243469238281,254.839599609375,462,0.0,993.59,0.0,-9999.0,0.0,0.0,0,,-48.25,-71.25
34,-4439879,-7123536,38,11.12560158,0.004878521,-44.39879,-71.23536,-44.39879,-71.23536,2995,3384,3211,SP,-1.78655505180359,-0.228810995817184,34.1255531311035,34.6550254821777,1.3389999512583,0.946530997753143,328.438446044922,257.418579101563,601,0.0,993.59,0.0,-9999.0,0.0,0.0,0,,-44.25,-71.25
35,-4053979,-7123536,37,11.08048708,0.004878521,-40.53979,-71.23536,-40.53979,-71.23536,3704,4109,3991,SP,-1.7892849445343,-0.426964998245239,34.146541595459,34.6528625488281,1.3310000067576802,0.930414974689484,319.550872802734,260.724487304688,668,0.0,726.179358024691,267.410641975309,-9999.0,0.0,0.0,0,,-40.75,-71.25
36,-3668079,-7123536,36,11.08048708,0.004878521,-36.68079,-71.23536,-36.68079,-71.23536,3868,4036,3932,SP,-1.7875189781189,-0.426257014274597,34.1142578125,34.6639442443848,1.3899999903515,0.885076999664307,314.886840820313,261.507751464844,614,0.0,780.677857142857,212.912142857143,-9999.0,0.0,0.0,0,,-36.75,-71.25
37,-3282179,-7123536,36,11.08048708,0.004878521,-32.82179,-71.23536,-32.82179,-71.23536,4085,4202,4154,SP,-1.77122402191162,-0.478228002786636,34.0734329223633,34.6641883850098,1.61000003572553,0.843407988548279,314.515228271484,262.431488037109,558,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-32.75,-71.25
38,-2896279,-7123536,36,11.08048708,0.004878521,-28.96279,-71.23536,-28.96279,-71.23536,3991,4303,4154,SP,-1.77250397205353,-0.454970985651016,34.0758743286133,34.6590385437012,1.7559999832883502,0.806831002235413,315.894866943359,263.013458251953,480,0.0,28.66125,964.92875,-9999.0,0.0,0.0,0,,-28.75,-71.25
39,-2510379,-7123536,35,10.7724287,0.004878521,-25.10379,-71.23536,-25.10379,-71.23536,3872,4305,4166,SP,-1.74430799484253,-0.486694991588593,34.0827865600586,34.655574798584,1.8489999929443,0.786961019039154,317.528381347656,264.133026123047,381,0.0,293.717136258661,699.87286374134,-9999.0,0.0,0.0,0,,-25.25,-71.25
87,16012821,-7123536,34,11.28733879,0.005524836,160.12821,-71.23536,160.12821,-71.23536,0,0,0,SP,,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0,,160.25,-71.25
88,16398721,-7123536,37,11.50090651,0.005524836,163.98721,-71.23536,163.98721,-71.23536,0,0,0,SP,,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0,,163.75,-71.25
89,16784621,-7123536,35,10.76507522,0.004985879,167.84621,-71.23536,167.84621,-71.23536,0,23,3,SP,-1.71009886264801,-1.56278145313263,33.8272476196289,34.3713607788086,3.39382095262408,0.627872705459595,338.331573486328,323.445770263672,1,59.6154,0.0,0.0,1.0,0.0,0.0,0,,167.75,-71.25
90,17170521,-7123536,42,11.53478914,0.007339011,171.70521,-71.23536,171.70521,-71.23536,412,2196,1409,SP,-1.63966500759125,0.95846301317215,34.1521492004395,34.7010040283203,1.34399998933077,0.660392999649048,329.070739746094,246.915084838867,54,0.0,993.59,0.0,-9999.0,0.0,0.0,0,,171.75,-71.25
92,-17174579,-6737636,60,14.49925943,0.007745345,-171.74579,-67.37636,-171.74579,-67.37636,2735,3592,3368,SP,-1.51135003566742,0.159769997000694,33.9847068786621,34.6903762817383,1.84000004082918,0.548548996448517,326.925903320313,244.769989013672,837,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-171.75,-67.25
93,-16788679,-6737636,67,15.28164301,0.008325293,-167.88679,-67.37636,-167.88679,-67.37636,3408,3727,3543,SP,-1.5292489528656,0.160797998309135,34.0178070068359,34.6957054138184,1.36899994686246,0.545403003692627,325.285400390625,247.734924316406,971,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-167.75,-67.25
